shrid2,connected_villages,num_connected_villages,connected_populations,Town-Connected
11-24-468-03725-506733,"['11-24-468-03725-506732', '11-24-468-03725-506742', '11-24-468-03725-506740', '11-24-468-03725-506741']",4,,
11-24-468-03725-506740,"['11-24-468-03725-506732', '11-24-468-03725-506742', '11-24-468-03725-506733', '11-24-468-03725-506741']",4,,
11-24-468-03725-506741,"['11-24-468-03725-506732', '11-24-468-03725-506742', '11-24-468-03725-506733', '11-24-468-03725-506740']",4,,
11-24-468-03725-506742,"['11-24-468-03725-506732', '11-24-468-03725-506733', '11-24-468-03725-506740', '11-24-468-03725-506741']",4,,
11-24-468-03725-506743,[],0,,
11-24-468-03725-506751,[],0,,
11-24-468-03725-506752,['11-24-468-03725-506757'],1,,
11-24-468-03725-506757,['11-24-468-03725-506752'],1,,
11-24-468-03726-506780,[],0,,
11-24-468-03726-506785,['11-24-468-03726-506786'],1,,
11-24-468-03726-506786,['11-24-468-03726-506785'],1,,
11-24-468-03726-506792,['11-24-468-03726-506802'],1,,
11-24-468-03726-506801,['11-24-468-03726-506823'],1,,
11-24-468-03726-506802,['11-24-468-03726-506792'],1,,
11-24-468-03726-506812,['11-24-468-03726-506845'],1,,
11-24-468-03726-506817,"['11-24-468-03726-506849', '11-24-468-03726-506842', '11-24-468-03726-506843', '11-24-468-03726-506841']",4,"['3726.0', '396.0', '2345.0', '996.0']",1.0
11-24-468-03726-506823,['11-24-468-03726-506801'],1,,
11-24-468-03726-506825,"['11-24-468-03726-802445', '11-24-468-03726-506855', '11-24-468-03726-506826']",3,,
11-24-468-03726-506826,"['11-24-468-03726-506825', '11-24-468-03726-802445', '11-24-468-03726-506855']",3,,
11-24-468-03726-506831,[],0,,
11-24-468-03726-506833,['11-24-468-03726-506861'],1,,
11-24-468-03726-506841,"['11-24-468-03726-506817', '11-24-468-03726-506843', '11-24-468-03726-506842']",3,,
11-24-468-03726-506842,"['11-24-468-03726-506817', '11-24-468-03726-506843', '11-24-468-03726-506841']",3,,
11-24-468-03726-506843,"['11-24-468-03726-506817', '11-24-468-03726-506842', '11-24-468-03726-506849', '11-24-468-03726-506841']",4,,
11-24-468-03726-506845,"['11-24-468-03726-506846', '11-24-468-03726-506812']",2,,
11-24-468-03726-506846,['11-24-468-03726-506845'],1,,
11-24-468-03726-506847,"['11-24-468-03726-506873', '11-24-468-03725-506715']",2,,
11-24-468-03726-506848,[],0,,
11-24-468-03726-506849,"['11-24-468-03726-506817', '11-24-468-03726-506843']",2,,
11-24-468-03726-506850,['11-24-468-03726-506869'],1,,
11-24-468-03726-506851,[],0,,
11-24-468-03726-506855,"['11-24-468-03726-506825', '11-24-468-03726-802445', '11-24-468-03726-506826']",3,,
11-24-468-03726-506861,['11-24-468-03726-506833'],1,,
11-24-468-03726-506869,"['11-24-468-03726-506878', '11-24-468-03726-506850', '11-24-468-03726-506877']",3,,
11-24-468-03726-506870,"['11-24-468-03726-506876', '11-24-468-03726-506871']",2,,
11-24-468-03726-506871,"['11-24-468-03726-506876', '11-24-468-03726-506870']",2,,
11-24-468-03726-506873,"['11-24-468-03726-506847', '11-24-468-03725-506715']",2,,
11-24-468-03726-506876,"['11-24-468-03726-506871', '11-24-468-03726-506870']",2,,
11-24-468-03726-506877,"['11-24-468-03726-506878', '11-24-468-03726-506869']",2,,
11-24-468-03726-506878,"['11-24-468-03726-506869', '11-24-468-03726-506877']",2,,
11-24-468-03726-506881,"['11-24-468-03729-507204', '11-24-468-03726-506882', '11-24-468-03729-507198']",3,,
11-24-468-03726-506882,"['11-24-468-03726-506881', '11-24-468-03729-507204', '11-24-468-03729-507198']",3,,
11-24-468-03726-506917,['11-24-468-03726-506919'],1,,
11-24-468-03726-506919,['11-24-468-03726-506917'],1,,
11-24-468-03726-506921,['11-24-468-03726-802445'],1,,
11-24-468-03726-802445,"['11-24-468-03726-506921', '11-24-468-03726-506825', '11-24-468-03726-506855', '11-24-468-03726-506826']",4,,
11-24-468-03727-506925,"['11-24-468-03722-506470', '11-24-468-03727-506926', '11-24-468-03722-506471', '11-24-468-03722-506476']",4,,
11-24-468-03727-506926,"['11-24-468-03727-506925', '11-24-468-03722-506470', '11-24-468-03722-506471', '11-24-468-03722-506476']",4,,
11-24-468-03727-506936,"['11-24-468-03727-506937', '11-24-468-03727-506943']",2,,
11-24-468-03727-506937,"['11-24-468-03727-506936', '11-24-468-03727-506943']",2,,
11-24-468-03727-506939,['11-24-468-03727-506940'],1,,
11-24-468-03727-506940,"['11-24-468-03727-506939', '11-24-468-03727-506994', '11-24-468-03727-506961', '11-24-468-03727-506960', '11-24-468-03727-506986']",5,,
11-24-468-03727-506943,"['11-24-468-03727-506937', '11-24-468-03727-506936']",2,,
11-24-468-03727-506948,"['11-24-468-03728-507082', '11-24-468-03722-506525']",2,,
11-24-468-03727-506952,['11-24-468-03727-506967'],1,,
11-24-468-03727-506954,"['11-24-468-03727-506962', '11-24-468-03727-506955', '11-24-468-03727-506964']",3,,
11-24-468-03727-506955,"['11-24-468-03727-506954', '11-24-468-03727-506962', '11-24-468-03727-506964']",3,,
11-24-468-03727-506960,"['11-24-468-03727-506994', '11-24-468-03727-506986', '11-24-468-03727-506961', '11-24-468-03727-506940']",4,,
11-24-468-03727-506961,"['11-24-468-03727-506962', '11-24-468-03727-506994', '11-24-468-03727-506960', '11-24-468-03727-506986', '11-24-468-03727-506940']",5,,
11-24-468-03727-506962,"['11-24-468-03727-506955', '11-24-468-03727-506954', '11-24-468-03727-506961', '11-24-468-03727-506964']",4,,
11-24-468-03727-506964,"['11-24-468-03727-506962', '11-24-468-03727-506954', '11-24-468-03727-506955']",3,,
11-24-468-03727-506967,['11-24-468-03727-506952'],1,,
11-24-468-03727-506985,"['11-24-468-03727-506997', '11-24-468-03727-507002']",2,,
11-24-468-03727-506986,"['11-24-468-03727-506994', '11-24-468-03727-506961', '11-24-468-03727-506960', '11-24-468-03727-506940']",4,,
11-24-468-03727-506991,"['11-24-468-03727-506992', '11-24-468-03727-507007', '11-24-468-03727-507006', '11-24-468-03727-507020']",4,,
11-24-468-03727-506992,"['11-24-468-03727-507007', '11-24-468-03727-506991', '11-24-468-03727-507006', '11-24-468-03727-507020']",4,,
11-24-468-03727-506994,"['11-24-468-03727-506986', '11-24-468-03727-506961', '11-24-468-03727-506960', '11-24-468-03727-506940']",4,,
11-24-468-03727-506997,"['11-24-468-03727-506985', '11-24-468-03727-507002']",2,,
11-24-468-03727-507000,"['11-24-468-03727-507011', '11-24-468-03727-507001', '11-24-468-03727-507002']",3,,
11-24-468-03727-507001,"['11-24-468-03727-507000', '11-24-468-03727-507011', '11-24-468-03727-507002']",3,,
11-24-468-03727-507002,"['11-24-468-03727-506985', '11-24-468-03727-507000', '11-24-468-03727-506997', '11-24-468-03727-507001', '11-24-468-03727-507011']",5,,
11-24-468-03727-507006,"['11-24-468-03727-506992', '11-24-468-03727-507007', '11-24-468-03727-506991', '11-24-468-03727-507020']",4,,
11-24-468-03727-507007,"['11-24-468-03727-506992', '11-24-468-03727-506991', '11-24-468-03727-507006', '11-24-468-03727-507020']",4,,
11-24-468-03727-507011,"['11-24-468-03727-507000', '11-24-468-03727-507001', '11-24-468-03727-507002']",3,,
11-24-468-03727-507019,"['11-24-468-03727-507021', '11-24-468-03727-507052', '11-24-468-03727-507032', '11-24-468-03727-507043', '11-24-468-03727-507031']",5,,
11-24-468-03727-507020,"['11-24-468-03727-506992', '11-24-468-03727-507007', '11-24-468-03727-506991', '11-24-468-03727-507006']",4,,
11-24-468-03727-507021,"['11-24-468-03727-507052', '11-24-468-03727-507032', '11-24-468-03727-507043', '11-24-468-03727-507019', '11-24-468-03727-507031']",5,,
11-24-468-03727-507031,"['11-24-468-03727-507021', '11-24-468-03727-507052', '11-24-468-03727-507032', '11-24-468-03727-507043', '11-24-468-03727-507019']",5,,
11-24-468-03727-507032,"['11-24-468-03727-507021', '11-24-468-03727-507052', '11-24-468-03727-507043', '11-24-468-03727-507019', '11-24-468-03727-507031']",5,,
11-24-468-03727-507043,"['11-24-468-03727-507021', '11-24-468-03727-507052', '11-24-468-03727-507032', '11-24-468-03727-507019', '11-24-468-03727-507031']",5,,
11-24-468-03727-507048,"['11-24-468-03729-507195', '11-24-468-03727-507049']",2,,
11-24-468-03727-507049,"['11-24-468-03729-507195', '11-24-468-03727-507048']",2,,
11-24-468-03727-507052,"['11-24-468-03727-507021', '11-24-468-03727-507032', '11-24-468-03727-507043', '11-24-468-03727-507019', '11-24-468-03727-507031']",5,,
11-24-468-03728-507057,"['11-24-468-03728-507062', '11-24-468-03728-507058', '11-24-468-03728-507061', '11-24-468-03728-507072', '11-24-468-03722-506509', '11-24-468-03728-507071', '11-24-468-03722-506513']",7,,
11-24-468-03728-507058,"['11-24-468-03728-507062', '11-24-468-03728-507072', '11-24-468-03728-507061', '11-24-468-03728-507059', '11-24-468-03728-507057', '11-24-468-03728-507071', '11-24-468-03722-506513']",7,,
11-24-468-03728-507059,['11-24-468-03728-507058'],1,,
11-24-468-03728-507061,"['11-24-468-03728-507062', '11-24-468-03728-507058', '11-24-468-03728-507072', '11-24-468-03728-507057', '11-24-468-03728-507071', '11-24-468-03722-506513']",6,,
11-24-468-03728-507062,"['11-24-468-03728-507079', '11-24-468-03728-507058', '11-24-468-03728-507061', '11-24-468-03728-507069', '11-24-468-03728-507072', '11-24-468-03728-507067', '11-24-468-03728-507070', '11-24-468-03728-507057', '11-24-468-03728-507071', '11-24-468-03722-506513']",10,,
11-24-468-03728-507063,['11-24-468-03728-507064'],1,,
11-24-468-03728-507064,['11-24-468-03728-507063'],1,['66.0'],0.0
11-24-468-03728-507067,"['11-24-468-03728-507062', '11-24-468-03728-507079', '11-24-468-03722-506522', '11-24-468-03722-506520', '11-24-468-03728-507069', '11-24-468-03722-506498', '11-24-468-03722-506518', '11-24-468-03728-507070', '11-24-468-03722-506517']",9,,
11-24-468-03728-507069,"['11-24-468-03728-507062', '11-24-468-03728-507067', '11-24-468-03728-507079', '11-24-468-03728-507070']",4,,
11-24-468-03728-507070,"['11-24-468-03728-507062', '11-24-468-03728-507067', '11-24-468-03728-507079', '11-24-468-03728-507069']",4,,
11-24-468-03728-507071,"['11-24-468-03728-507062', '11-24-468-03728-507058', '11-24-468-03728-507072', '11-24-468-03728-507076', '11-24-468-03728-507061', '11-24-468-03728-507057', '11-24-468-03722-506513']",7,,
11-24-468-03728-507072,"['11-24-468-03728-507062', '11-24-468-03728-507058', '11-24-468-03728-507076', '11-24-468-03728-507061', '11-24-468-03728-507057', '11-24-468-03728-507071', '11-24-468-03722-506513']",7,,
11-24-468-03728-507076,"['11-24-468-03728-507072', '11-24-468-03728-507071']",2,,
11-24-468-03728-507078,"['11-24-468-03728-507088', '11-24-468-03728-507087']",2,,
11-24-468-03728-507079,"['11-24-468-03728-507080', '11-24-468-03728-507062', '11-24-468-03728-507069', '11-24-468-03728-507067', '11-24-468-03728-507070']",5,,
11-24-468-03728-507080,['11-24-468-03728-507079'],1,,
11-24-468-03728-507082,"['11-24-468-03727-506948', '11-24-468-03728-507084', '11-24-468-03728-507083', '11-24-468-03728-507096', '11-24-468-03722-506525']",5,,
11-24-468-03728-507083,"['11-24-468-03728-507082', '11-24-468-03728-507084', '11-24-468-03728-507096']",3,,
11-24-468-03728-507084,"['11-24-468-03728-507082', '11-24-468-03728-507083', '11-24-468-03728-507096']",3,,
11-24-468-03728-507086,"['11-24-468-03728-507105', '11-24-468-03728-507125']",2,,
11-24-468-03728-507087,"['11-24-468-03728-507088', '11-24-468-03728-507078']",2,,
11-24-468-03728-507088,"['11-24-468-03728-507087', '11-24-468-03728-507078']",2,,
11-24-468-03728-507096,"['11-24-468-03728-507082', '11-24-468-03728-507083', '11-24-468-03728-507084']",3,"['678.0', '100.0', '701.0']",0.0
11-24-468-03728-507105,"['11-24-468-03728-507125', '11-24-468-03728-507145', '11-24-468-03728-507128', '11-24-468-03728-507086']",4,,
11-24-468-03728-507125,"['11-24-468-03728-507105', '11-24-468-03728-507086']",2,,
11-24-468-03728-507128,"['11-24-468-03728-507105', '11-24-468-03728-507145']",2,,
11-24-468-03728-507145,"['11-24-468-03728-507105', '11-24-468-03728-507128']",2,,
11-24-468-03728-507151,[],0,,
11-24-468-03728-507162,['11-24-468-03728-507180'],1,,
11-24-468-03728-507164,"['11-24-468-03728-507166', '11-24-468-03728-507177', '11-24-468-03728-507178', '11-24-468-03728-507165']",4,,
11-24-468-03728-507165,"['11-24-468-03728-507178', '11-24-468-03728-507177', '11-24-468-03728-507164', '11-24-468-03728-507166']",4,,
11-24-468-03728-507166,"['11-24-468-03728-507178', '11-24-468-03728-507177', '11-24-468-03728-507164', '11-24-468-03728-507165']",4,,
11-24-468-03728-507171,"['11-24-468-03728-507173', '11-24-468-03728-507174', '11-24-468-03728-507172']",3,"['401.0', '395.0', '859.0']",0.0
11-24-468-03728-507172,"['11-24-468-03728-507175', '11-24-468-03728-507176', '11-24-468-03728-507174', '11-24-468-03728-507171', '11-24-468-03728-507173']",5,"['134.0', '2906.0', '395.0', '757.0', '401.0']",1.0
11-24-468-03728-507173,"['11-24-468-03728-507171', '11-24-468-03728-507174', '11-24-468-03728-507172']",3,,
11-24-468-03728-507174,"['11-24-468-03728-507171', '11-24-468-03728-507172', '11-24-468-03728-507173']",3,,
11-24-468-03728-507175,['11-24-468-03728-507172'],1,,
11-24-468-03728-507176,['11-24-468-03728-507172'],1,,
11-24-468-03728-507177,"['11-24-468-03728-507166', '11-24-468-03728-507178', '11-24-468-03728-507164', '11-24-468-03728-507165']",4,,
11-24-468-03728-507178,"['11-24-468-03728-507166', '11-24-468-03728-507177', '11-24-468-03728-507164', '11-24-468-03728-507165']",4,,
11-24-468-03728-507180,['11-24-468-03728-507162'],1,['771.0'],0.0
11-24-468-03728-507183,"['11-24-468-03728-507185', '11-24-468-03728-507184']",2,,
11-24-468-03728-507184,"['11-24-468-03728-507183', '11-24-468-03728-507185']",2,,
11-24-468-03728-507185,"['11-24-468-03728-507183', '11-24-468-03728-507184']",2,,
11-24-468-03728-507186,"['11-24-468-03728-507189', '11-24-468-03728-507190', '11-24-468-03728-507188']",3,,
11-24-468-03728-507188,['11-24-468-03728-507186'],1,,
11-24-468-03728-507189,"['11-24-468-03728-507190', '11-24-468-03728-507186']",2,,
11-24-468-03728-507190,"['11-24-468-03728-507189', '11-24-468-03728-507186']",2,,
11-24-468-03728-507192,"['11-24-468-03729-507212', '11-24-468-03729-507211']",2,"['823.0', '1381.0']",0.0
11-24-468-03729-507195,"['11-24-468-03727-507048', '11-24-468-03727-507049']",2,,
11-24-468-03729-507198,"['11-24-468-03726-506881', '11-24-468-03729-507204', '11-24-468-03726-506882']",3,,
11-24-468-03729-507204,"['11-24-468-03726-506881', '11-24-468-03726-506882', '11-24-468-03729-507198']",3,,
11-24-468-03729-507209,"['11-24-468-03729-507232', '11-24-468-03729-507233', '11-24-468-03729-507260', '11-24-468-03729-507247', '11-24-468-03729-507218']",5,,
11-24-468-03729-507211,"['11-24-468-03728-507192', '11-24-468-03729-507212']",2,,
11-24-468-03729-507212,"['11-24-468-03728-507192', '11-24-468-03729-507211']",2,,
11-24-468-03729-507218,"['11-24-468-03729-507232', '11-24-468-03729-507209', '11-24-468-03729-507233', '11-24-468-03729-507260', '11-24-468-03729-507247']",5,,
11-24-468-03729-507232,"['11-24-468-03729-507209', '11-24-468-03729-507233', '11-24-468-03729-507260', '11-24-468-03729-507247', '11-24-468-03729-507218']",5,,
11-24-468-03729-507233,"['11-24-468-03729-507232', '11-24-468-03729-507209', '11-24-468-03729-507260', '11-24-468-03729-507247', '11-24-468-03729-507218']",5,,
11-24-468-03729-507235,[],0,,
11-24-468-03729-507247,"['11-24-468-03729-507232', '11-24-468-03729-507209', '11-24-468-03729-507233', '11-24-468-03729-507260', '11-24-468-03729-507218']",5,,
11-24-468-03729-507260,"['11-24-468-03729-507232', '11-24-468-03729-507209', '11-24-468-03729-507233', '11-24-468-03729-507247', '11-24-468-03729-507218']",5,,
11-24-468-03729-507270,"['11-24-468-03729-507278', '11-24-468-03729-507271']",2,"['4179.0', '233.0']",1.0
11-24-468-03729-507271,"['11-24-468-03729-507278', '11-24-468-03729-507270']",2,,
11-24-468-03729-507278,"['11-24-468-03729-507271', '11-24-468-03729-507270']",2,,
11-24-468-03730-507294,"['11-24-468-03730-507332', '11-24-468-03730-507296', '11-24-468-03730-507318', '11-24-468-03730-507295', '11-24-468-03730-507307']",5,,
11-24-468-03730-507295,"['11-24-468-03730-507296', '11-24-468-03730-507294']",2,,
11-24-468-03730-507296,"['11-24-468-03730-507295', '11-24-468-03730-507294']",2,,
11-24-468-03730-507300,"['11-24-468-03730-507322', '11-24-468-03730-507323', '11-24-468-03730-507303', '11-24-468-03730-507301']",4,,
11-24-468-03730-507301,"['11-24-468-03730-507322', '11-24-468-03730-507323', '11-24-468-03730-507300']",3,,
11-24-468-03730-507303,"['11-24-468-03730-507322', '11-24-468-03730-507300']",2,,
11-24-468-03730-507305,"['11-24-468-03730-507318', '11-24-468-03730-507332', '11-24-468-03730-507306', '11-24-468-03730-507319']",4,,
11-24-468-03730-507306,"['11-24-468-03730-507305', '11-24-468-03730-507332', '11-24-468-03730-507318', '11-24-468-03730-507319']",4,,
11-24-468-03730-507307,"['11-24-468-03730-507318', '11-24-468-03730-507294', '11-24-468-03730-507332']",3,,
11-24-468-03730-507314,"['11-24-468-03730-507334', '11-24-468-03730-507316', '11-24-468-03730-507315']",3,,
11-24-468-03730-507315,"['11-24-468-03730-507314', '11-24-468-03730-507316']",2,,
11-24-468-03730-507316,"['11-24-468-03730-507314', '11-24-468-03730-507315']",2,,
11-24-468-03730-507318,"['11-24-468-03730-507319', '11-24-468-03730-507294', '11-24-468-03730-507332', '11-24-468-03730-507305', '11-24-468-03730-507306', '11-24-468-03730-507307']",6,,
11-24-468-03730-507319,"['11-24-468-03730-507318', '11-24-468-03730-507305', '11-24-468-03730-507306', '11-24-468-03730-507332']",4,,
11-24-468-03730-507322,"['11-24-468-03730-507323', '11-24-468-03730-507303', '11-24-468-03730-507301', '11-24-468-03730-507300']",4,,
11-24-468-03730-507323,"['11-24-468-03730-507322', '11-24-468-03730-507301', '11-24-468-03730-507300']",3,,
11-24-468-03730-507329,['11-24-468-03730-507338'],1,,
11-24-468-03730-507332,"['11-24-468-03730-507319', '11-24-468-03730-507294', '11-24-468-03730-507305', '11-24-468-03730-507318', '11-24-468-03730-507307', '11-24-468-03730-507306']",6,,
11-24-468-03730-507334,['11-24-468-03730-507314'],1,['4552.0'],1.0
11-24-468-03730-507338,['11-24-468-03730-507329'],1,,
11-24-468-03730-507343,"['11-24-468-03730-507345', '11-24-468-03730-507346']",2,,
11-24-468-03730-507345,"['11-24-468-03730-507346', '11-24-468-03730-507343']",2,,
11-24-468-03730-507346,"['11-24-468-03730-507345', '11-24-468-03730-507343']",2,,
11-24-468-03731-507350,['11-24-468-03731-507351'],1,,
11-24-468-03731-507351,['11-24-468-03731-507350'],1,,
11-24-469-03732-507359,"['11-24-469-03732-507363', '11-24-469-03732-507360', '11-24-469-03732-507361']",3,,
11-24-469-03732-507360,"['11-24-469-03732-507363', '11-24-469-03732-507359', '11-24-469-03732-507361']",3,,
